id,lat,lng
14012,42.36287455328141,-71.07844396691434
47742,42.36649384760207,-71.09626984389433
16059,42.38728463908642,-71.13529026563724
79269,42.373553350319796,-71.11604654879625
1102,42.3702573605366,-71.09905188926041
14046,42.364431726270304,-71.0812633256797
27217,42.38282341181251,-71.11628228521272
3924,42.3768141494683,-71.12968172694507
2742,42.40060275937472,-71.13600717192864
8743,42.368292880169875,-71.1379324055099
14883,42.356607115078816,-71.10219527378857
2026,42.35999312676831,-71.10906540800651
15545,42.36571255773395,-71.07985161386489
73830,42.37636882851302,-71.11371409917452
14543,42.36827999237453,-71.13830851788867
52787,42.35694561906565,-71.1066576965193
9032,42.38128076882603,-71.13577321195132
74643,42.37199748107571,-71.12225743228579
10369,42.35626374805826,-71.10974653528376
3798,42.38153439602234,-71.13536257341488
4700,42.377852646709506,-71.10864114092331
75910,42.38040859196192,-71.11628389351762
78454,42.37000501089107,-71.11849688710261
30223,42.36287390873515,-71.11486448290357
13333,42.377040645875574,-71.12242865019593
1030,42.36900256829229,-71.09169122201622
73936,42.37635014803858,-71.11345491778275
6143,42.373611736820244,-71.11372906761501
677,42.376053604482095,-71.1460137053893
8143,42.3722353474305,-71.0920699640378
16408,42.390082864118355,-71.13741478781873
78676,42.36813166214621,-71.11480152658906
2114,42.37072114780841,-71.0835868332632
76724,42.381487161283566,-71.1290708970369
32786,42.36130591320282,-71.0798958929941
32781,42.36120575248225,-71.08041225554099
73903,42.37568034042564,-71.11287367331575
4052,42.377694191807336,-71.1087850379149
2770,42.39956197199258,-71.1397497519409
8793,42.3691430625524,-71.13725741088298
6405,42.36802280621395,-71.10987332436979
78754,42.37057298754365,-71.11684350438007
32753,42.38377528053207,-71.14228778376439
77753,42.375267337016204,-71.12172374383168
17097,42.389716074072375,-71.12013267232254
3889,42.38090971809476,-71.13407995422578
31019,42.35526531143451,-71.09871424125461
50744,42.3922745539152,-71.12786700392844
15604,42.36552857862804,-71.09608592182907
22130,42.36953966578166,-71.07561801994953
4885,42.36187545894228,-71.10527885685447
30292,42.37469288191794,-71.11097113330017
26042,42.39556877349472,-71.13074879704222
4195,42.38322008280372,-71.12825800190232
77602,42.380854109377445,-71.12437645959407
74676,42.371476669290324,-71.121949561062
40196,42.39082218777215,-71.1272578069486
8128,42.36609223935962,-71.0983028985309
7477,42.36624757996438,-71.09342854281793
7423,42.36764447972857,-71.09659366605592
1515,42.37132640644632,-71.08558225117446
10096,42.38209872318819,-71.13558636180086
34121,42.38393497016869,-71.1393825557039
6798,42.37817324830148,-71.14695044545405
76585,42.38097718524398,-71.12705372891504
8394,42.3701623892079,-71.1403026216049
8076,42.37014405834587,-71.09337155842755
51381,42.390047828693696,-71.12850067519567
21656,42.36233573679353,-71.08420006413883
12027,42.37309495757492,-71.0965295999154
2049,42.37226612901562,-71.08433709603688
16011,42.38847134072432,-71.13415300694011
5544,42.370645417262295,-71.11473364294956
15079,42.38952115820825,-71.15615621330991
5812,42.36161354729264,-71.11113094096875
5670,42.368265829583656,-71.11357899824567
75738,42.377991231627696,-71.11523798126719
205,42.379946954146746,-71.1513403672513
7250,42.37233390032072,-71.10487765203703
14371,42.36586923885767,-71.08747876741079
2777,42.39966708744693,-71.1393525614941
12888,42.37700277657863,-71.14405587460921
74390,42.370679085959786,-71.1229566415292
80062,42.37019685690471,-71.10353417006213
78700,42.369718979644816,-71.11664060918751
23441,42.356496807665444,-71.10499269339263
50753,42.391793782530556,-71.1285227348653
73973,42.38269940420272,-71.11903223647514
0,42.394857864696604,-71.13055059375829
5423,42.37963596656712,-71.12017756509552
26010,42.36478979314233,-71.10723602318932
9132,42.355309581006914,-71.10657975744331
47744,42.36652499924166,-71.0963227096426
68334,42.35882155013458,-71.10148011991386
70216,42.3615562396816,-71.08746161056663
77841,42.37017171462253,-71.11862990529211
76398,42.38341458722183,-71.13206736716567
13445,42.366004938122565,-71.10821957382949
50274,42.38096545745641,-71.15241934709282
0,42.38224782357384,-71.14176779211888
